CustomerID,Recency,Frequency,Monetary,Avg_Purchase_Value,CLV,Recency Score,Frequency Score,Monetary Score,RFM Score,Segment Code,Segment Label
12423,5026,8,1634.31,204.29,1634.31,4,4,4,12,6,Champions
12433,5026,7,13375.87,1910.84,13375.87,4,4,4,12,6,Champions
12518,5026,5,1840.89,368.18,1840.89,4,3,4,11,6,Champions
12526,5026,3,1172.66,390.89,1172.66,4,3,3,10,6,Champions
12662,5026,11,3543.78,322.16,3543.78,4,4,4,12,6,Champions
12680,5026,4,790.81,197.7,790.81,4,3,3,10,6,Champions
12713,5026,1,794.55,794.55,794.55,4,1,3,8,5,Loyal
12748,5026,206,31650.78,153.64,31650.78,4,4,4,12,6,Champions
12985,5026,2,1239.38,619.69,1239.38,4,2,3,9,5,Loyal
13069,5026,24,4431.44,184.64,4431.44,4,4,4,12,6,Champions
13113,5026,24,12245.96,510.25,12245.96,4,4,4,12,6,Champions
13426,5026,10,3641.32,364.13,3641.32,4,4,4,12,6,Champions
13777,5026,33,25977.16,787.19,25977.16,4,4,4,12,6,Champions
14051,5026,23,15610.39,678.71,15610.39,4,4,4,12,6,Champions
14422,5026,6,4263.64,710.61,4263.64,4,4,4,12,6,Champions
14441,5026,4,1712.89,428.22,1712.89,4,3,4,11,6,Champions
14446,5026,4,1005.55,251.39,1005.55,4,3,3,10,6,Champions
15311,5026,91,60632.75,666.29,60632.75,4,4,4,12,6,Champions
15344,5026,3,563.94,187.98,563.94,4,3,2,9,5,Loyal
15694,5026,13,6464.4,497.26,6464.4,4,4,4,12,6,Champions
15804,5026,13,4206.39,323.57,4206.39,4,4,4,12,6,Champions
15910,5026,8,1228.88,153.61,1228.88,4,4,3,11,6,Champions
16446,5026,2,168472.5,84236.25,168472.5,4,2,4,10,6,Champions
16558,5026,20,8338.49,416.92,8338.49,4,4,4,12,6,Champions
16626,5026,17,4413.1,259.59,4413.1,4,4,4,12,6,Champions
16705,5026,20,14034.99,701.75,14034.99,4,4,4,12,6,Champions
16954,5026,9,2085.08,231.68,2085.08,4,4,4,12,6,Champions
17001,5026,11,3989.57,362.69,3989.57,4,4,4,12,6,Champions
17364,5026,11,4462.68,405.7,4462.68,4,4,4,12,6,Champions
17389,5026,34,31833.68,936.28,31833.68,4,4,4,12,6,Champions
17428,5026,28,17256.85,616.32,17256.85,4,4,4,12,6,Champions
17490,5026,7,2092.32,298.9,2092.32,4,4,4,12,6,Champions
17581,5026,25,11025.24,441.01,11025.24,4,4,4,12,6,Champions
17754,5026,5,1664.65,332.93,1664.65,4,3,4,11,6,Champions
18102,5026,60,259657.3,4327.62,259657.3,4,4,4,12,6,Champions
12358,5027,2,928.06,464.03,928.06,4,2,3,9,5,Loyal
12437,5027,18,4447.41,247.08,4447.41,4,4,4,12,6,Champions
12621,5027,20,12411.67,620.58,12411.67,4,4,4,12,6,Champions
12955,5027,11,4757.16,432.47,4757.16,4,4,4,12,6,Champions
13013,5027,13,4810.94,370.07,4810.94,4,4,4,12,6,Champions
13026,5027,5,975.36,195.07,975.36,4,3,3,10,6,Champions
13077,5027,4,728.02,182.01,728.02,4,3,3,10,6,Champions
13098,5027,28,28882.44,1031.52,28882.44,4,4,4,12,6,Champions
13102,5027,24,6424.09,267.67,6424.09,4,4,4,12,6,Champions
13263,5027,34,7411.71,217.99,7411.71,4,4,4,12,6,Champions
13269,5027,15,5343.28,356.22,5343.28,4,4,4,12,6,Champions
13298,5027,1,360,360,360,4,1,2,7,4,Potential
13314,5027,3,775.94,258.65,775.94,4,3,3,10,6,Champions
13318,5027,3,640.76,213.59,640.76,4,3,2,9,5,Loyal
13394,5027,8,2520.02,315,2520.02,4,4,4,12,6,Champions
13404,5027,2,252.49,126.24,252.49,4,2,1,7,4,Potential
13408,5027,62,28117.04,453.5,28117.04,4,4,4,12,6,Champions
13436,5027,1,196.89,196.89,196.89,4,1,1,6,3,Need Attention
13468,5027,37,5704.97,154.19,5704.97,4,4,4,12,6,Champions
13471,5027,4,2501.84,625.46,2501.84,4,3,4,11,6,Champions
13510,5027,4,1791.56,447.89,1791.56,4,3,4,11,6,Champions
13521,5027,3,1070.47,356.82,1070.47,4,3,3,10,6,Champions
13536,5027,7,3444.39,492.06,3444.39,4,4,4,12,6,Champions
13599,5027,21,5149.92,245.23,5149.92,4,4,4,12,6,Champions
13680,5027,4,3719.12,929.78,3719.12,4,3,4,11,6,Champions
13798,5027,57,37153.85,651.82,37153.85,4,4,4,12,6,Champions
13860,5027,5,1245.9,249.18,1245.9,4,3,3,10,6,Champions
13890,5027,10,1883.81,188.38,1883.81,4,4,4,12,6,Champions
13924,5027,6,1838.85,306.47,1838.85,4,4,4,12,6,Champions
13954,5027,2,439.92,219.96,439.92,4,2,2,8,5,Loyal
14056,5027,23,8152.71,354.47,8152.71,4,4,4,12,6,Champions
14129,5027,5,1123.86,224.77,1123.86,4,3,3,10,6,Champions
14135,5027,15,4690.31,312.69,4690.31,4,4,4,12,6,Champions
14138,5027,2,965.88,482.94,965.88,4,2,3,9,5,Loyal
14191,5027,13,4684.76,360.37,4684.76,4,4,4,12,6,Champions
14217,5027,17,2004.98,117.94,2004.98,4,4,4,12,6,Champions
14251,5027,5,2879.7,575.94,2879.7,4,3,4,11,6,Champions
14291,5027,11,3883.25,353.02,3883.25,4,4,4,12,6,Champions
14415,5027,13,5855.57,450.43,5855.57,4,4,4,12,6,Champions
14520,5027,2,270.6,135.3,270.6,4,2,1,7,4,Potential
14569,5027,1,227.39,227.39,227.39,4,1,1,6,3,Need Attention
14606,5027,90,11926.15,132.51,11926.15,4,4,4,12,6,Champions
14621,5027,5,1788.36,357.67,1788.36,4,3,4,11,6,Champions
14646,5027,72,279138.02,3876.92,279138.02,4,4,4,12,6,Champions
14653,5027,7,1916.7,273.81,1916.7,4,4,4,12,6,Champions
14698,5027,5,1217.27,243.45,1217.27,4,3,3,10,6,Champions
